Item label	0	1	2	3	% 0 to 2	% 3 to 4	No. missing	NA	NA	NA
stni1	274	134	60	61	87.31	12.69	0	NA	NA	NA
stni2	247	118	76	82	82.28	17.72	0	NA	NA	NA
stni3	400	52	26	48	89.18	10.82	0	NA	NA	NA
stni4	356	76	37	50	87.5	12.5	0	NA	NA	NA
stni5	265	115	59	83	81.9	18.1	0	NA	NA	NA
stni6	349	75	49	53	88.25	11.75	0	NA	NA	NA
stni7	261	75	38	90	69.78	30.22	0	NA	NA	NA
stni8	420	47	34	26	93.47	6.53	0	NA	NA	NA
stni9	397	59	28	35	90.3	9.7	0	NA	NA	NA
stni10a	196	119	145	65	85.82	14.18	0	NA	NA	NA
stni11a	230	58	92	118	70.9	29.1	0	NA	NA	NA
